LSOA21CD,dpi_normalized,Pct of population speaks no or little English normalized,Pct umemp or econo inactive normalized,Pct household deprivation normalized,score
E01000001,8.81,0.12,3.66,2.304283604,14.8942836
E01000002,9.13,0.13,3.2,2.245199409,14.70519941
E01000003,7.86,0.28,3.38,4.874446086,16.39444609
E01000005,7.54,2.18,5.16,6.94239291,21.82239291
E01000006,9.01,2.34,3.92,6.528803545,21.79880355
E01000007,8.89,2,3.65,5.64254062,20.18254062
E01000008,8.41,2,5.22,8.301329394,23.93132939
E01000009,8.1,3.57,4.69,6.809453471,23.16945347
E01034474,9.56,1.74,3.53,6.100443131,20.93044313
E01000011,8.81,4.04,4.66,6.750369276,24.26036928
E01000012,9.4,2.71,4.51,6.868537666,23.48853767
E01000013,8.21,1.46,4.5,7.134416544,21.30441654
E01000014,8.37,1.89,4.12,6.838995569,21.21899557
E01000015,9.13,1.63,3.99,6.026587888,20.77658789
E01000016,8.06,1.14,3.95,6.189069424,19.33906942
E01000017,8.29,1.48,4.45,7.592319055,21.81231906
E01000018,8.02,1.17,3.96,6.23338257,19.38338257
E01000019,8.69,1.86,4.31,6.543574594,21.40357459
E01000020,8.85,1.44,4.71,6.794682422,21.79468242
E01000021,7.66,1.79,4.72,6.868537666,21.03853767
E01000022,7.98,1.71,4.35,5.937961595,19.9779616
E01034471,8.25,1.81,4.29,6.011816839,20.36181684
E01000024,8.41,1.82,4.64,6.809453471,21.67945347
E01000025,8.33,1.24,4.4,7.29689808,21.26689808
E01000027,8.1,1.22,4.87,7.459379616,21.64937962
E01000028,7.46,1.65,5.27,7.562776957,21.94277696
E01000029,7.02,1.18,4.92,5.849335303,18.9693353
E01000030,8.73,0.95,4.54,7.311669129,21.53166913
E01000031,7.54,1.34,4.59,5.539143279,19.00914328
E01000032,8.06,1.94,4.7,6.381093058,21.08109306
E01000033,7.7,1.19,5.04,7.149187592,21.07918759
E01000034,6.35,0.86,5.2,6.898079764,19.30807976
E01000035,8.17,2.05,4.65,6.46971935,21.33971935
E01000036,8.13,2.11,4.17,5.923190547,20.33319055
E01000037,7.54,0.84,4.03,4.564254062,16.97425406
E01000038,7.62,1.02,4.05,5.99704579,18.68704579
E01000039,8.41,0.99,4.08,4.741506647,18.22150665
E01000040,7.86,2.25,5.07,7.488921713,22.66892171
E01000041,8.49,1.67,4.18,6.912850812,21.25285081
E01000042,8.21,1.92,4.95,7.429837518,22.50983752
E01000043,8.13,2.27,4.44,6.883308715,21.72330872
E01000044,8.33,2.75,4.2,6.454948301,21.7349483
E01000045,8.25,1.76,4.56,7.001477105,21.57147711
E01000046,8.45,1.3,4.26,6.543574594,20.55357459
E01034479,8.73,1.82,4.5,6.927621861,21.97762186
E01000049,8.45,2.03,5.39,8.567208272,24.43720827
E01000050,7.78,2.52,4.18,6.484490399,20.9644904
E01000051,9.09,1.13,2.56,3.796159527,16.57615953
E01000052,8.57,2.63,4.52,6.440177253,22.16017725
E01000053,8.33,1.42,4.52,7.946824225,22.21682423
E01000054,7.58,1.06,4.15,6.676514032,19.46651403
E01000055,8.61,1.36,4.37,6.262924668,20.60292467
E01000056,8.73,1.25,4.68,7.031019202,21.6910192
E01000057,8.13,1.88,4.53,7.237813885,21.77781389
E01000058,9.13,1.76,4.41,6.927621861,22.22762186
E01000059,7.82,1.59,4.1,6.883308715,20.39330872
E01000060,7.38,1.05,4.62,6.676514032,19.72651403
E01000061,7.82,0.89,4.78,7.075332349,20.56533235
E01000062,8.17,1.47,4.05,6.336779911,20.02677991
